STUDYAREAN,IMGPATH,SPECIESID,COMMONNAME
933,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_01_190827\BSE-BVSE01_06093_8-18-2019.JPG,18.0,Unknown
934,Buena Vista North,F:\Nilgai_photo_database\BV\BVN\BV_N_01_190301\BVN-BVN01_01701_1-22-2019.JPG,5.0,Pig
935,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190723\CNE-CONE05.35_03141_7-18-2019.JPG,5.0,Pig
936,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00591_6-13-2019.JPG,25.0,Dog
937,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190212_Cam77\RCW-RCW07.1_01294_1-23-2019.JPG,13.0,Nilgai
938,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.2_190228_Cam80\RCW-RCW07.2_00495_2-15-2019.JPG,22.0,Rat
939,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_03_190424\RUE-RUE03_07250_4-12-2019.JPG,13.0,Nilgai
940,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_02_190528\RUS-RUS02_00262_4-30-2019.JPG,22.0,Rat
941,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.5_190211\CNE-CONE05.5_00979_2-10-2019.JPG,27.0,Opossum
942,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_05_190403\RCW-RCW05_00293_3-14-2019.JPG,26.0,Armadillo
943,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190827\CT-CT06_01813_8-23-2019.JPG,17.0,Raccoon
944,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_03_190812\CNW-CONW03_00331_8-3-2019.JPG,26.0,Armadillo
945,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190507\RCNX9089.JPG,22.0,Rat
946,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_03_190603\CNW-CONW03_08479_5-25-2019.JPG,6.0,Cattle
947,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_11_190522\CNC-CONC11_01203_5-14-2019.JPG,27.0,Opossum
948,Buena Vista North,F:\Nilgai_photo_database\BV\BVN\BV_N_04_190301\BVN-BVN04_00272_1-20-2019.JPG,8.0,Bobcat
949,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190812\CLE-COLE0669_01435_8-12-2019.JPG,26.0,Armadillo
950,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.4_190827\CNE-CONE05.4_00284_8-24-2019.JPG,10.0,Birds
951,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_07_190522\CLE-COLE07_01099_5-6-2019.JPG,10.0,Birds
952,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_05_190404\RUE-RUE05_00352_3-4-2019.JPG,5.0,Pig
953,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190301_Cam33\RCW-RCW24_07328_3-1-2019.JPG,8.0,Bobcat
954,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_07.1_190404\CNC-CONC07.1_00035_3-12-2019.JPG,13.0,Nilgai
955,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.6_190911\CSE-COSE0.6_00255_8-29-2019.JPG,27.0,Opossum
956,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_11_190509\BSW-BVSW11_00127_4-29-2019.JPG,8.0,Bobcat
957,Russel Trough,F:\Nilgai_photo_database\RU\RT\R_T_01_190813\RT-RT01_00560_8-12-2019.JPG,10.0,Birds
958,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00673_6-13-2019.JPG,25.0,Dog
959,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_21_190204\RCW-RCW21_02137_1-31-2019.JPG,12.0,White-tailed deer
960,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190729\CLE-COLE0669_01559_7-19-2019.JPG,22.0,Rat
961,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00573_6-13-2019.JPG,25.0,Dog
962,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_01_190827\BSE-BVSE01_06721_8-19-2019.JPG,18.0,Unknown
963,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.2_190319\CNE-CONE05.2_04282_3-15-2019.JPG,0.0,None
964,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_08.1_190827\CNC-CONC08.1_01287_8-22-2019.JPG,10.0,Birds
965,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190403_Cam36\RCW-RCW24_01346_2-18-2019.JPG,21.0,Mouse
966,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_03_190301\RUE-RUE03_04499_2-17-2019.JPG,7.0,Coyote
967,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_01_190827\BSE-BVSE01_06293_8-18-2019.JPG,18.0,Unknown
968,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00691_6-13-2019.JPG,25.0,Dog
969,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190827\CT-CT06_00437_8-15-2019.JPG,8.0,Bobcat
970,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_03_190729\CNW-CONW03_01050_7-11-2019.JPG,26.0,Armadillo
971,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190723\CNE-CONE05.35_01558_7-11-2019.JPG,5.0,Pig
972,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_04_190813\RUS-RUS04_00296_8-1-2019.JPG,21.0,Mouse
973,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190424\BSW-BVSW12_00331_4-19-2019.JPG,8.0,Bobcat
974,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_05_190812\CLE-COLE05_00305_8-5-2019.JPG,17.0,Raccoon
975,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_02_190827\RUS-RUS02_00081_8-14-2019.JPG,21.0,Mouse
976,Buena Vista East,F:\Nilgai_photo_database\BV\BVE\BV_E_01_190730\BVE-BVE01_00368_6-12-2019.JPG,9.0,Humans
977,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_06042_1-6-2019.JPG,11.0,"Exotics, other"
978,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0667_190522\CLE-COLE0667_05925_4-30-2019.JPG,0.0,None
979,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190403_Cam78\RCW-RCW07.1_02562_3-12-2019.JPG,18.0,Unknown
980,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_02_190528\RUS-RUS02_00149_4-28-2019.JPG,22.0,Rat
981,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_03_190301\RUE-RUE03_04686_2-21-2019.JPG,5.0,Pig
982,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190812\CT-CT06_00201_7-30-2019.JPG,17.0,Raccoon
983,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190911\CSC-CSC12_00819_8-31-2019.JPG,33.0,Turkey
984,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190403_Cam36\RCW-RCW24_01283_2-18-2019.JPG,21.0,Mouse
985,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190827\CNE-CONE05.35_02070_8-17-2019.JPG,5.0,Pig
986,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0670_190827\CLE-COLE0670_00277_8-21-2019.JPG,27.0,Opossum
987,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.8_190911\CSE-COSE0.8_00188_9-2-2019.JPG,27.0,Opossum
988,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_05_190812\CT-CT05_01298_8-5-2019.JPG,9.0,Humans
989,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190403_Cam78\RCW-RCW07.1_00077_3-1-2019.JPG,18.0,Unknown
990,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_02_190207_Cam131\RCNX2219.JPG,8.0,Bobcat
991,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.2_190228_Cam80\RCW-RCW07.2_01297_2-19-2019.JPG,22.0,Rat
992,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.4_190812\CNE-CONE05.4_00139_8-2-2019.JPG,5.0,Pig
993,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190827\CSC-CSC12_00773_8-25-2019.JPG,33.0,Turkey
994,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_03860_12-17-2018.JPG,11.0,"Exotics, other"
995,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190912\CT-CT06_00223_9-1-2019.JPG,8.0,Bobcat
996,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_06935_1-17-2019.JPG,11.0,"Exotics, other"
997,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190403_Cam78\RCW-RCW07.1_00188_3-2-2019.JPG,22.0,Rat
998,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_09_190228\RCW-RCW09_00729_2-21-2019.JPG,15.0,Rabbit
999,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_04_190812\CT-CT04_02820_8-1-2019.JPG,12.0,White-tailed deer
